Parameter,Type,Min,Max,Default,Description
Duration_Before_Leaving_Mean_2,float,1.17549E-38,3.40282E+38,-1,"The mean of the second exponential distribution, in days, when **Duration_Before_Leaving_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION."
Duration_Before_Leaving_Min,float,0,3.40282E+38,-1,"The minimum duration before leaving the home node, in days, when **Duration_Before_Leaving_Distribution** is set to UNIFORM_DISTRIBUTION."
Duration_Before_Leaving_Peak_2_Value,float,0,3.40282E+38,-1,"The duration before leaving the home node to assign to the remaining families, in days, when **Duration_Before_Leaving_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION."
Duration_Before_Leaving_Poisson_Mean,float,0,3.40282E+38,-1,"The mean of the duration before leaving the home node, in days, when **Duration_Before_Leaving** is set to POISSON_DISTRIBUTION."
Duration_Before_Leaving_Proportion_0,float,0,1,-1,The proportion of families to assign a value of zero days before leaving the home node when **Duration_Before_Leaving_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.
Duration_Before_Leaving_Proportion_1,float,0,1,-1,The proportion of families in the first exponential distribution when **Duration_Before_Leaving_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.
Intervention_Name,string,NA,NA,MigrateFamily,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Is_Moving,boolean,0,1,0,Set to true (1) to indicate the individual is permanently moving to a new home node for intervention-based migration.
New_Property_Value,string,NA,NA,"""""",An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
NodeID_To_Migrate_To,integer,0,4294970000.0,0,The destination node ID for intervention-based migration.
